column,dtype,missing_count,missing_rate_pct,unique_count
Knowledge_9_score,float64,7802,33.97343784019159,5
Knowledge_7_score,float64,7753,33.76006967123884,5
Knowledge_8_score,float64,7752,33.75571521881123,5
Knowledge_6_score,float64,7708,33.564119311996514,5
Knowledge_5_score,float64,7707,33.55976485956891,5
Knowledge_2_score,float64,7633,33.23753537992597,5
Knowledge_4_score,float64,7626,33.207054212932725,5
Knowledge_3_score,float64,7607,33.12431961680819,5
Knowledge_1_score,float64,7374,32.1097322011757,5
WorkExp_num,float64,7106,30.942738950576963,51
OrgSize_order,float64,343,1.4935771826692792,9
EdLevel_order,float64,206,0.8970172000870891,7
YearsCodePro_num,float64,80,0.3483561942085783,52
YearsCode_num,float64,41,0.17853254953189637,52
DevType,object,31,0.13498802525582407,34
Age_order,float64,9,0.039190071848465055,7
RemoteWork,object,8,0.034835619420857826,3
log_salary,float64,0,0.0,5892
ConvertedCompYearly,float64,0,0.0,5892
Country,object,0,0.0,161
EdLevel,object,0,0.0,8
