column,dtype,missing_count,missing_rate_pct,unique_count
AINextMuch less integrated,object,64289,98.24564084539328,286
AINextLess integrated,object,63082,96.40111863318917,249
AINextNo change,object,52939,80.90071366352369,539
AINextMuch more integrated,object,51999,79.46421749163318,700
EmbeddedAdmired,object,48704,74.42883995293182,1053
EmbeddedWantToWorkWith,object,47837,73.10390146247536,1471
EmbeddedHaveWorkedWith,object,43223,66.05284472087656,1630
ConvertedCompYearly,float64,42002,64.1869278848358,6113
AIToolNot interested in Using,object,41023,62.690832403685995,1531
AINextMore integrated,object,41009,62.669437779849325,884
Knowledge_9,object,37802,57.76854073383559,5
Frequency_3,object,37727,57.65392667756773,5
Knowledge_8,object,37679,57.5805736815563,5
ProfessionalTech,object,37673,57.571404557054876,514
Knowledge_7,object,37659,57.550009933218206,5
Knowledge_6,object,37573,57.418585815364395,5
Knowledge_5,object,37557,57.39413481669392,5
Knowledge_2,object,37416,57.17866039091034,5
Knowledge_4,object,37407,57.164906704158206,5
Knowledge_3,object,37342,57.06557452205938,5
Frustration,object,37186,56.82717728502224,954
Frequency_2,object,37073,56.65449210691199,5
Frequency_1,object,37068,56.64685116982747,5
ProfessionalCloud,object,36946,56.46041230496508,3
Knowledge_1,object,36773,56.196035881840544,5
ProfessionalQuestion,object,36630,55.977505081223164,9
TimeAnswering,object,36593,55.920962146797685,5
Industry,object,36579,55.899567522961014,15
TimeSearching,object,36526,55.81857358986506,5
JobSat,float64,36311,55.490013295230526,11
JobSatPoints_1,float64,36113,55.187432186683374,91
JobSatPoints_4,float64,36044,55.08198725491694,72
JobSatPoints_5,float64,36026,55.054479881412654,78
JobSatPoints_11,float64,35992,55.00252150923789,79
JobSatPoints_7,float64,35989,54.99793694698718,91
JobSatPoints_6,float64,35987,54.99488057215337,93
JobSatPoints_10,float64,35987,54.99488057215337,75
JobSatPoints_8,float64,35981,54.985711447651944,89
JobSatPoints_9,float64,35981,54.985711447651944,85
MiscTechAdmired,object,35841,54.77176520928526,4917
WorkExp,float64,35779,54.67701758943717,51
ICorPM,object,35636,54.45848678881978,2
AIToolInterested in Using,object,34746,53.0983999877745,1949
PlatformAdmired,object,34060,52.0500634197778,2556
MiscTechWantToWorkWith,object,32473,49.62482998914987,10263
CompTotal,float64,31697,48.43895655363174,3337
PlatformWantToWorkWith,object,30905,47.22863211944313,4784
WebframeAdmired,object,30494,46.60054709109525,5460
AIToolCurrently Using,object,30365,46.40341091431453,1310
AISearchDevAdmired,object,29894,45.68363464095236,1488
AISearchDevWantToWorkWith,object,28736,43.9139936121766,2361
AIBen,object,28543,43.61905344071397,113
AIComplex,object,28416,43.42497363876706,5
OfficeStackAsyncAdmired,object,28233,43.14531534147348,2661
AIAcc,object,28135,42.99555297461681,5
AIChallenges,object,27906,42.64559805614561,232
WebframeWantToWorkWith,object,26902,41.11129788957318,11654
DatabaseAdmired,object,26880,41.07767776640127,4051
OfficeStackAsyncWantToWorkWith,object,26471,40.45264911288721,3801
MiscTechHaveWorkedWith,object,25994,39.72370371502361,9288
TechDoc,object,24540,37.50171921084402,113
AIEthics,object,23889,36.506869202438985,126
PlatformHaveWorkedWith,object,23071,35.256811895410856,5467
DatabaseWantToWorkWith,object,22879,34.96339991136513,8478
BuildvsBuy,object,22079,33.74084997784128,3
TechEndorse,object,21769,33.267111878600794,386
ToolsTechAdmired,object,21440,32.76433821843911,11804
AISearchDevHaveWorkedWith,object,20984,32.067484756330515,2663
TBranch,object,20960,32.0308082583248,2
AIThreat,object,20748,31.706832525940982,3
OfficeStackSyncAdmired,object,20725,31.67168421535217,2555
WebframeHaveWorkedWith,object,20276,30.985528065161912,12235
BuyNewTool,object,20256,30.954964316823812,215
SOPartFreq,object,20200,30.869385821477145,6
AISent,object,19564,29.897458624325683,6
ToolsTechWantToWorkWith,object,19353,29.57501107935877,16549
Currency,object,18753,28.65809862921589,142
OfficeStackSyncWantToWorkWith,object,18726,28.616837568959458,3205
PurchaseInfluence,object,18031,27.554747314210616,3
OrgSize,object,17957,27.44166144535966,10
OfficeStackAsyncHaveWorkedWith,object,17344,26.50488255879701,6014
LearnCodeOnline,object,16200,24.756636153857908,10853
DatabaseHaveWorkedWith,object,15183,23.202469550865718,9050
NEWCollabToolsAdmired,object,14726,22.50408790134022,7545
