feature,importance_mean,importance_std,metric
Country,0.46454490208452476,0.006012879142330068,decrease_in_log_r2
YearsCode_num,0.2536032981858655,0.004972455884789864,decrease_in_log_r2
YearsCodePro_num,0.06078609968673524,0.0011997932789208647,decrease_in_log_r2
Employment,0.02273274708217543,0.003546726089183253,decrease_in_log_r2
ProfessionalExperienceRatio,0.019886316019419408,0.0028222630173361835,decrease_in_log_r2
Knowledge_4_score,0.018076300609923084,0.0015843891836444886,decrease_in_log_r2
Age,0.015042501058256405,0.0025612950594841154,decrease_in_log_r2
PreProfessionalCodingYears,0.014348991362749586,0.0020524221270894626,decrease_in_log_r2
OrgSize_order,0.010449775650489213,0.0007431211969191561,decrease_in_log_r2
Knowledge_9_score,0.010205795746301316,0.0010521271323739162,decrease_in_log_r2
PlatformHaveWorkedWith,0.009189658665782882,0.0020672530793336866,decrease_in_log_r2
ICorPM,0.00833425233795615,0.0005419931599968497,decrease_in_log_r2
DatabaseHaveWorkedWith,0.00797074380811876,0.0016534735202063556,decrease_in_log_r2
LanguageHaveWorkedWith,0.005362237593611578,0.0005547901002819834,decrease_in_log_r2
Knowledge_6_score,0.005268756055571459,0.0007022972659667408,decrease_in_log_r2
EdLevel_order,0.00517989948786024,0.0019174617844738907,decrease_in_log_r2
CodingActivities,0.00486789660580685,0.00014307829414354355,decrease_in_log_r2
ProfessionalTech,0.004665418622586033,0.0006174123717188862,decrease_in_log_r2
OrgSize,0.004446189994969818,0.0010228420666465083,decrease_in_log_r2
DevType,0.0042945596820404735,0.0018566917486134346,decrease_in_log_r2
Knowledge_1_score,0.003956652342822868,0.0006489024078147646,decrease_in_log_r2
Knowledge_2_score,0.0035905397452417054,0.00045402382809116846,decrease_in_log_r2
WorkExp_num,0.002297301418138479,0.0003738373495181313,decrease_in_log_r2
Knowledge_5_score,0.0013705029332810408,0.00022302426960685954,decrease_in_log_r2
Knowledge_3_score,0.001339813866268284,0.0002758436574911379,decrease_in_log_r2
EdLevel,0.00114688832224689,0.0011100577634739883,decrease_in_log_r2
RemoteWork,0.0010144986454741674,0.0010809980870833218,decrease_in_log_r2
Age_order,0.0005846541722851853,3.988953072471526e-05,decrease_in_log_r2
WorkProfessionalGapYears,0.0005485120219913912,0.0002665489430755341,decrease_in_log_r2
Industry,0.000295479023576517,0.0006870826876371414,decrease_in_log_r2
Knowledge_8_score,0.00027270207336834346,0.00038374304009128606,decrease_in_log_r2
Knowledge_7_score,5.089521978944115e-05,0.00027881218892960777,decrease_in_log_r2
