role,column
numeric,YearsCode_num
numeric,YearsCodePro_num
numeric,WorkExp_num
numeric,Knowledge_1_score
numeric,Knowledge_2_score
numeric,Knowledge_3_score
numeric,Knowledge_4_score
numeric,Knowledge_5_score
numeric,Knowledge_6_score
numeric,Knowledge_7_score
numeric,Knowledge_8_score
numeric,Knowledge_9_score
numeric,Age_order
numeric,EdLevel_order
numeric,OrgSize_order
numeric,ProfessionalExperienceRatio
numeric,PreProfessionalCodingYears
numeric,WorkProfessionalGapYears
categorical_onehot,Age
categorical_onehot,Country
categorical_onehot,DevType
categorical_onehot,RemoteWork
categorical_onehot,EdLevel
categorical_onehot,OrgSize
categorical_onehot,Industry
categorical_onehot,ICorPM
multiselect_multihot,Employment
multiselect_multihot,CodingActivities
multiselect_multihot,LanguageHaveWorkedWith
multiselect_multihot,DatabaseHaveWorkedWith
multiselect_multihot,PlatformHaveWorkedWith
multiselect_multihot,ProfessionalTech
